Bebida,LinkImagen,Categoria,Tipo de Bebida,Tipo de Vaso,Medida1,Ingrediente1,Medida2,Ingrediente2,Medida3,Ingrediente3,Medida4,Ingrediente4,Medida5,Ingrediente5,Medida6,Ingrediente6
A1,https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Cocktail,Alcoholic,Cocktail glass,1 3/4 shot ,Gin,1 Shot ,Grand Marnier,1/4 Shot,Lemon Juice,1/8 Shot,Grenadine,,,,
ABC,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,Shot,Alcoholic,Shot glass,1/3 ,Amaretto,1/3 ,Baileys irish cream,1/3 ,Cognac,,,,,,
Ace,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Cocktail,Alcoholic,Martini Glass,2 shots ,Gin,1/2 shot ,Grenadine,1/2 shot ,Heavy cream,1/2 shot,Milk,1/2 Fresh,Egg White,,
Adam,https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,Ordinary Drink,Alcoholic,Cocktail glass,2 oz ,Dark rum,1 oz ,Lemon juice,1 tsp ,Grenadine,,,,,,
AT&T,https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Ordinary Drink,Alcoholic,Highball Glass,1 oz ,Absolut Vodka,1 oz ,Gin,4 oz ,Tonic water,,,,,,
ACID,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,Shot,Alcoholic,Shot glass,1 oz Bacardi ,151 proof rum,1 oz ,Wild Turkey,,,,,,,,
A. J.,https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,Ordinary Drink,Alcoholic,Cocktail glass,1 1/2 oz ,Applejack,1 oz ,Grapefruit juice,,,,,,,,
Affair,https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,Ordinary Drink,Alcoholic,Highball glass,2 oz ,Strawberry schnapps,2 oz ,Orange juice,2 oz ,Cranberry juice,,Club soda,,,,
Apello,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,Other/Unknown,Non alcoholic,Collins Glass,4 cl ,Orange juice,3 cl ,Grapefruit juice,1 cl ,Apple juice,1 ,Maraschino cherry,,,,
Avalon,https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,Ordinary Drink,Alcoholic,Highball glass,3 parts,Vodka,1 part ,Pisang Ambon,6 parts ,Apple juice,1 1/2 part ,Lemon juice,,Lemonade,,
Abilene,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg,Ordinary Drink,Alcoholic,Highball glass,1 1/2 oz ,Dark rum,2 oz ,Peach nectar,3 oz ,Orange juice,,,,,,
Almeria,https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,Ordinary Drink,Alcoholic,Cocktail glass,2 oz ,Dark rum,1 oz ,Kahlua,1 ,Egg white,,,,,,
Addison,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,Cocktail,Alcoholic,Martini Glass,1 1/2 shot ,Gin,1 1/2 shot ,Vermouth,,,,,,,,
Acapulco,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,Ordinary Drink,Alcoholic,Old-fashioned glass,1 1/2 oz ,Light rum,1 1/2 tsp ,Triple sec,1 tblsp ,Lime juice,1 tsp ,Sugar,1 ,Egg white,1 ,Mint
Affinity,https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg,Ordinary Drink,Alcoholic,Cocktail glass,1 1/2 oz ,Scotch,1 oz ,Sweet Vermouth,1 oz ,Dry Vermouth,2 dashes ,Orange bitters,,,,
Applecar,https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,Ordinary Drink,Alcoholic,Cocktail glass,1 oz ,Applejack,1 oz ,Triple sec,1 oz ,Lemon juice,,,,,,
Aviation,https://www.thecocktaildb.com/images/media/drink/ruutxt1478253328.jpg,Cocktail,Alcoholic,Cocktail glass,4.5 cl,Gin,1.5 cl,lemon juice,1.5 cl,maraschino liqueur,,,,,,
Alexander,https://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg,Ordinary Drink,Alcoholic,Cocktail glass,1/2 oz ,Gin,1/2 oz white ,Creme de Cacao,2 oz ,Light cream,,Nutmeg,,,,
Algonquin,https://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,Ordinary Drink,Alcoholic,Cocktail glass,1 1/2 oz ,Blended whiskey,1 oz ,Dry Vermouth,1 oz ,Pineapple juice,,,,,,
Allegheny,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,Ordinary Drink,Alcoholic,Cocktail glass,1 oz ,Dry Vermouth,1 oz ,Bourbon,1 1/2 tsp ,Blackberry brandy,1 1/2 tsp ,Lemon juice,1 twist of ,Lemon peel,,
Artillery,https://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg,Ordinary Drink,Alcoholic,Cocktail glass,1 1/2 tsp ,Sweet Vermouth,1 1/2 oz ,Gin,2 dashes ,Bitters,,,,,,
Afterglow,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,Cocktail,Non alcoholic,Highball Glass,1 part ,Grenadine,4 parts ,Orange juice,4 parts ,Pineapple juice,,,,,,
Autodafé,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg,Ordinary Drink,Alcoholic,Highball glass,4 cl ,Vodka,1 dash ,Lime juice,,Soda water,,,,,,
Afternoon,https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,Coffee / Tea,Alcoholic,Collins Glass,1 cl ,Kahlua,1 cl ,Baileys irish cream,1 1/2 ,Frangelico,4 cl hot ,Coffee,,Cream,,
After sex,https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,Ordinary Drink,Alcoholic,Highball glass,2 cl ,Vodka,1 cl ,Creme de Banane,,Orange juice,,,,,,
B-53,https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,Shot,Alcoholic,Collins Glass,1/3 shot ,Kahlua,1/3 shot ,Sambuca,1/3 shot ,Grand Marnier,,,,,,
B-52,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,Shot,Alcoholic,Shot glass,1/3 ,Baileys irish cream,1/3 ,Grand Marnier,1/4 ,Kahlua,,,,,,
