Bebida,Ingrediente1,Ingrediente2,Ingrediente3,Ingrediente4,Ingrediente5,Ingrediente6,Ingrediente7,Ingrediente8,Medida1,Medida2,Medida3,Medida4,Medida5,Medida6,Medida7,Medida8,linkImagen
A Day at the Beach,Coconut rum,Amaretto,Orange juice,Grenadine,,,,,1 oz,1/2 oz,4 oz,1/2 oz,,,,,https://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg
A Furlong Too Late,Light rum,Ginger beer,Lemon peel,,,,,,2 oz,4 oz,1 twist of,,,,,,https://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg
A Gilligan's Island,Vodka,Peach schnapps,Orange juice,Cranberry juice,,,,,1 oz,1 oz,3 oz,3 oz,,,,,https://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg
A midsummernight dream,Vodka,Kirschwasser,Strawberry liqueur,Strawberries, Schweppes Russchian,,,,2 oz,1 oz,1 tsp,5,,,,,https://www.thecocktaildb.com/images/media/drink/ysqvqp1461867292.jpg
A Night In Old Mandalay,Light rum,Añejo rum,Orange juice,Lemon juice,Ginger ale,Lemon peel,,,1 oz,1 oz,1 oz,1/2 oz,3 oz,1 twist of,,,https://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg
A Piece of Ass,Amaretto,Southern Comfort,cubes Ice, Sour mix,,,,,1 shot,1 shot,,,,,,,https://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg
A Splash of Nash,Cranberry juice,Soda water,Midori melon liqueur,Creme de Banane,,,,,2 oz,2 oz,0.5 oz,0.5 oz,,,,,https://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg
A True Amaretto Sour,Amaretto,Lemon, Ice, Maraschino cherry,,,,,1 jigger,Juice of 1/2,,,,,,,https://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg
A. J.,Applejack,Grapefruit juice,,,,,,,1 1/2 oz,1 oz,,,,,,,https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg
A.D.M. (After Dinner Mint),White Creme de Menthe,Southern Comfort,Vodka,Hot chocolate,,,,,1/2 oz,3/4 oz,1/2 oz,Fill with,,,,,https://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg
A1,Gin,Grand Marnier,1/4 Shot Lemon Juice,1/8 Shot Grenadine,,,,,1 3/4 shot,1 Shot,,,,,,,https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg
Abbey Cocktail,Gin,Orange bitters,Orange,Cherry,,,,,1 1/2 oz,1 dash,Juice of 1/4,1,,,,,https://www.thecocktaildb.com/images/media/drink/mr30ob1582479875.jpg
